# Relics & Item Drop Locations
FORMAT: Relics by ## Era Name, ### Refinement State with reward tables. Mod/Blueprint locations: ## Item Name with enemy tables showing drop %.
INDEX: Void Relics (756 entries) | Mod Drop Locations (648 entries) | Blueprint Drop Locations (179 entries)

# Void Relics
Complete relic drop table. Each relic lists its tier (Lith/Meso/Neo/Axi), refinement state, and all possible rewards with drop chances by rarity (Common, Uncommon, Rare).

## Axi A1
### Intact
| Reward | Rarity | Chance |
| Carrier Prime Systems | Uncommon | 16.67% |
| Braton Prime Blueprint | Uncommon | 16.67% |
| Akstiletto Prime Receiver | Uncommon | 16.67% |

## Axi A8
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 2.00% |
| Gram Prime Blueprint | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Pyrana Prime Barrel | Uncommon | 25.33% |
| Braton Prime Stock | Uncommon | 25.33% |
| Equinox Prime Chassis Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 4.00% |
| Gram Prime Blueprint | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Pyrana Prime Barrel | Uncommon | 23.33% |
| Braton Prime Stock | Uncommon | 23.33% |
| Equinox Prime Chassis Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Rare | 6.00% |
| Gram Prime Blueprint | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Pyrana Prime Barrel | Uncommon | 20.00% |
| Braton Prime Stock | Uncommon | 20.00% |
| Equinox Prime Chassis Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Aksomati Prime Link | Uncommon | 10.00% |
| Gram Prime Blueprint | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Pyrana Prime Barrel | Uncommon | 16.67% |
| Braton Prime Stock | Uncommon | 16.67% |
| Equinox Prime Chassis Blueprint | Uncommon | 16.67% |

## Axi A9
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 2.00% |
| Ivara Prime Systems Blueprint | Uncommon | 11.00% |
| Akbronco Prime Link | Uncommon | 11.00% |
| Lex Prime Blueprint | Uncommon | 25.33% |
| Rubico Prime Stock | Uncommon | 25.33% |
| Gram Prime Blade | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 4.00% |
| Ivara Prime Systems Blueprint | Uncommon | 13.00% |
| Akbronco Prime Link | Uncommon | 13.00% |
| Lex Prime Blueprint | Uncommon | 23.33% |
| Rubico Prime Stock | Uncommon | 23.33% |
| Gram Prime Blade | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Rare | 6.00% |
| Ivara Prime Systems Blueprint | Uncommon | 17.00% |
| Akbronco Prime Link | Uncommon | 17.00% |
| Lex Prime Blueprint | Uncommon | 20.00% |
| Rubico Prime Stock | Uncommon | 20.00% |
| Gram Prime Blade | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Atlas Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Ivara Prime Systems Blueprint | Uncommon | 20.00% |
| Akbronco Prime Link | Uncommon | 20.00% |
| Lex Prime Blueprint | Uncommon | 16.67% |
| Rubico Prime Stock | Uncommon | 16.67% |
| Gram Prime Blade | Uncommon | 16.67% |

## Axi B1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Rare | 2.00% |
| Cernos Prime Blueprint | Uncommon | 11.00% |
| Kavasa Prime Buckle | Uncommon | 11.00% |
| Euphona Prime Blueprint | Uncommon | 25.33% |
| Ash Prime Chassis Blueprint | Uncommon | 25.33% |
| Fang Prime Blade | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Rare | 4.00% |
| Cernos Prime Blueprint | Uncommon | 13.00% |
| Kavasa Prime Buckle | Uncommon | 13.00% |
| Euphona Prime Blueprint | Uncommon | 23.33% |
| Ash Prime Chassis Blueprint | Uncommon | 23.33% |
| Fang Prime Blade | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Rare | 6.00% |
| Cernos Prime Blueprint | Uncommon | 17.00% |
| Kavasa Prime Buckle | Uncommon | 17.00% |
| Euphona Prime Blueprint | Uncommon | 20.00% |
| Ash Prime Chassis Blueprint | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Uncommon | 10.00% |
| Cernos Prime Blueprint | Uncommon | 20.00% |
| Kavasa Prime Buckle | Uncommon | 20.00% |
| Euphona Prime Blueprint | Uncommon | 16.67% |
| Ash Prime Chassis Blueprint | Uncommon | 16.67% |
| Fang Prime Blade | Uncommon | 16.67% |

## Axi B2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Rare | 2.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Orthos Prime Blueprint | Uncommon | 11.00% |
| Fragor Prime Head | Uncommon | 25.33% |
| Sybaris Prime Blueprint | Uncommon | 25.33% |
| Fang Prime Blade | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Rare | 4.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Orthos Prime Blueprint | Uncommon | 13.00% |
| Fragor Prime Head | Uncommon | 23.33% |
| Sybaris Prime Blueprint | Uncommon | 23.33% |
| Fang Prime Blade | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Rare | 6.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Orthos Prime Blueprint | Uncommon | 17.00% |
| Fragor Prime Head | Uncommon | 20.00% |
| Sybaris Prime Blueprint | Uncommon | 20.00% |
| Fang Prime Blade | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Banshee Prime Systems Blueprint | Uncommon | 10.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Orthos Prime Blueprint | Uncommon | 20.00% |
| Fragor Prime Head | Uncommon | 16.67% |
| Sybaris Prime Blueprint | Uncommon | 16.67% |
| Fang Prime Blade | Uncommon | 16.67% |

## Axi B3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Stock | Rare | 2.00% |
| Zhuge Prime Receiver | Uncommon | 11.00% |
| Atlas Prime Chassis Blueprint | Uncommon | 11.00% |
| Paris Prime Lower Limb | Uncommon | 25.33% |
| Stradavar Prime Stock | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Stock | Rare | 4.00% |
| Zhuge Prime Receiver | Uncommon | 13.00% |
| Atlas Prime Chassis Blueprint | Uncommon | 13.00% |
| Paris Prime Lower Limb | Uncommon | 23.33% |
| Stradavar Prime Stock | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Stock | Rare | 6.00% |
| Zhuge Prime Receiver | Uncommon | 17.00% |
| Atlas Prime Chassis Blueprint | Uncommon | 17.00% |
| Paris Prime Lower Limb | Uncommon | 20.00% |
| Stradavar Prime Stock | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Stock | Uncommon | 10.00% |
| Zhuge Prime Receiver | Uncommon | 20.00% |
| Atlas Prime Chassis Blueprint | Uncommon | 20.00% |
| Paris Prime Lower Limb | Uncommon | 16.67% |
| Stradavar Prime Stock | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi B4
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Blueprint | Rare | 2.00% |
| Ivara Prime Blueprint | Uncommon | 11.00% |
| Karyst Prime Handle | Uncommon | 11.00% |
| Aksomati Prime Blueprint | Uncommon | 25.33% |
| Akjagara Prime Blueprint | Uncommon | 25.33% |
| Paris Prime Lower Limb | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Blueprint | Rare | 4.00% |
| Ivara Prime Blueprint | Uncommon | 13.00% |
| Karyst Prime Handle | Uncommon | 13.00% |
| Aksomati Prime Blueprint | Uncommon | 23.33% |
| Akjagara Prime Blueprint | Uncommon | 23.33% |
| Paris Prime Lower Limb | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Blueprint | Rare | 6.00% |
| Ivara Prime Blueprint | Uncommon | 17.00% |
| Karyst Prime Handle | Uncommon | 17.00% |
| Aksomati Prime Blueprint | Uncommon | 20.00% |
| Akjagara Prime Blueprint | Uncommon | 20.00% |
| Paris Prime Lower Limb | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Baza Prime Blueprint | Uncommon | 10.00% |
| Ivara Prime Blueprint | Uncommon | 20.00% |
| Karyst Prime Handle | Uncommon | 20.00% |
| Aksomati Prime Blueprint | Uncommon | 16.67% |
| Akjagara Prime Blueprint | Uncommon | 16.67% |
| Paris Prime Lower Limb | Uncommon | 16.67% |

## Axi B5
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 2.00% |
| Nagantaka Prime Receiver | Uncommon | 11.00% |
| Volnus Prime Head | Uncommon | 11.00% |
| Paris Prime Lower Limb | Uncommon | 25.33% |
| Knell Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 4.00% |
| Nagantaka Prime Receiver | Uncommon | 13.00% |
| Volnus Prime Head | Uncommon | 13.00% |
| Paris Prime Lower Limb | Uncommon | 23.33% |
| Knell Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 6.00% |
| Nagantaka Prime Receiver | Uncommon | 17.00% |
| Volnus Prime Head | Uncommon | 17.00% |
| Paris Prime Lower Limb | Uncommon | 20.00% |
| Knell Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Nagantaka Prime Receiver | Uncommon | 20.00% |
| Volnus Prime Head | Uncommon | 20.00% |
| Paris Prime Lower Limb | Uncommon | 16.67% |
| Knell Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi B6
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 2.00% |
| Shade Prime Systems | Uncommon | 11.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 11.00% |
| Lex Prime Barrel | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Afuris Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 4.00% |
| Shade Prime Systems | Uncommon | 13.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 13.00% |
| Lex Prime Barrel | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Afuris Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 6.00% |
| Shade Prime Systems | Uncommon | 17.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 17.00% |
| Lex Prime Barrel | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Afuris Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Shade Prime Systems | Uncommon | 20.00% |
| Garuda Prime Chassis Blueprint | Uncommon | 20.00% |
| Lex Prime Barrel | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Afuris Prime Blueprint | Uncommon | 16.67% |

## Axi B7
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 2.00% |
| Gauss Prime Blueprint | Uncommon | 11.00% |
| Hystrix Prime Blueprint | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Burston Prime Blueprint | Uncommon | 25.33% |
| Wisp Prime Systems Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 4.00% |
| Gauss Prime Blueprint | Uncommon | 13.00% |
| Hystrix Prime Blueprint | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Burston Prime Blueprint | Uncommon | 23.33% |
| Wisp Prime Systems Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 6.00% |
| Gauss Prime Blueprint | Uncommon | 17.00% |
| Hystrix Prime Blueprint | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |
| Wisp Prime Systems Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Gauss Prime Blueprint | Uncommon | 20.00% |
| Hystrix Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Burston Prime Blueprint | Uncommon | 16.67% |
| Wisp Prime Systems Blueprint | Uncommon | 16.67% |

## Axi B8
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 2.00% |
| Fang Prime Handle | Uncommon | 11.00% |
| Revenant Prime Systems Blueprint | Uncommon | 11.00% |
| Okina Prime Blade | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Burston Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 4.00% |
| Fang Prime Handle | Uncommon | 13.00% |
| Revenant Prime Systems Blueprint | Uncommon | 13.00% |
| Okina Prime Blade | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |
| Burston Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Rare | 6.00% |
| Fang Prime Handle | Uncommon | 17.00% |
| Revenant Prime Systems Blueprint | Uncommon | 17.00% |
| Okina Prime Blade | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Burston Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Neuroptics Blueprint | Uncommon | 10.00% |
| Fang Prime Handle | Uncommon | 20.00% |
| Revenant Prime Systems Blueprint | Uncommon | 20.00% |
| Okina Prime Blade | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |
| Burston Prime Blueprint | Uncommon | 16.67% |

## Axi B9
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Blueprint | Rare | 2.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 11.00% |
| Baruuk Prime Neuroptics Blueprint | Uncommon | 11.00% |
| Afuris Prime Blueprint | Uncommon | 25.33% |
| Braton Prime Blueprint | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Blueprint | Rare | 4.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 13.00% |
| Baruuk Prime Neuroptics Blueprint | Uncommon | 13.00% |
| Afuris Prime Blueprint | Uncommon | 23.33% |
| Braton Prime Blueprint | Uncommon | 23.33% |
| Forma Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Blueprint | Rare | 6.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 17.00% |
| Baruuk Prime Neuroptics Blueprint | Uncommon | 17.00% |
| Afuris Prime Blueprint | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Baruuk Prime Blueprint | Uncommon | 10.00% |
| Cobra & Crane Prime Blueprint | Uncommon | 20.00% |
| Baruuk Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Afuris Prime Blueprint | Uncommon | 16.67% |
| Braton Prime Blueprint | Uncommon | 16.67% |
| Forma Blueprint | Uncommon | 16.67% |

## Axi C1
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Rare | 2.00% |
| Orthos Prime Blueprint | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 25.33% |
| Vectis Prime Barrel | Uncommon | 25.33% |
| Lex Prime Receiver | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Rare | 4.00% |
| Orthos Prime Blueprint | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 23.33% |
| Vectis Prime Barrel | Uncommon | 23.33% |
| Lex Prime Receiver | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Rare | 6.00% |
| Orthos Prime Blueprint | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 20.00% |
| Vectis Prime Barrel | Uncommon | 20.00% |
| Lex Prime Receiver | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Uncommon | 10.00% |
| Orthos Prime Blueprint | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Trinity Prime Neuroptics Blueprint | Uncommon | 16.67% |
| Vectis Prime Barrel | Uncommon | 16.67% |
| Lex Prime Receiver | Uncommon | 16.67% |

## Axi C10
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Rare | 2.00% |
| Daikyu Prime Lower Limb | Uncommon | 11.00% |
| 2X Forma Blueprint | Uncommon | 11.00% |
| Epitaph Prime Blueprint | Uncommon | 25.33% |
| Okina Prime Blade | Uncommon | 25.33% |
| Lavos Prime Chassis Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Rare | 4.00% |
| Daikyu Prime Lower Limb | Uncommon | 13.00% |
| 2X Forma Blueprint | Uncommon | 13.00% |
| Epitaph Prime Blueprint | Uncommon | 23.33% |
| Okina Prime Blade | Uncommon | 23.33% |
| Lavos Prime Chassis Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Rare | 6.00% |
| Daikyu Prime Lower Limb | Uncommon | 17.00% |
| 2X Forma Blueprint | Uncommon | 17.00% |
| Epitaph Prime Blueprint | Uncommon | 20.00% |
| Okina Prime Blade | Uncommon | 20.00% |
| Lavos Prime Chassis Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Uncommon | 10.00% |
| Daikyu Prime Lower Limb | Uncommon | 20.00% |
| 2X Forma Blueprint | Uncommon | 20.00% |
| Epitaph Prime Blueprint | Uncommon | 16.67% |
| Okina Prime Blade | Uncommon | 16.67% |
| Lavos Prime Chassis Blueprint | Uncommon | 16.67% |

## Axi C11
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Rare | 2.00% |
| Daikyu Prime Lower Limb | Uncommon | 11.00% |
| Akbronco Prime Link | Uncommon | 11.00% |
| Perigale Prime Stock | Uncommon | 25.33% |
| Epitaph Prime Blueprint | Uncommon | 25.33% |
| Braton Prime Barrel | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Rare | 4.00% |
| Daikyu Prime Lower Limb | Uncommon | 13.00% |
| Akbronco Prime Link | Uncommon | 13.00% |
| Perigale Prime Stock | Uncommon | 23.33% |
| Epitaph Prime Blueprint | Uncommon | 23.33% |
| Braton Prime Barrel | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Rare | 6.00% |
| Daikyu Prime Lower Limb | Uncommon | 17.00% |
| Akbronco Prime Link | Uncommon | 17.00% |
| Perigale Prime Stock | Uncommon | 20.00% |
| Epitaph Prime Blueprint | Uncommon | 20.00% |
| Braton Prime Barrel | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Caliban Prime Systems Blueprint | Uncommon | 10.00% |
| Daikyu Prime Lower Limb | Uncommon | 20.00% |
| Akbronco Prime Link | Uncommon | 20.00% |
| Perigale Prime Stock | Uncommon | 16.67% |
| Epitaph Prime Blueprint | Uncommon | 16.67% |
| Braton Prime Barrel | Uncommon | 16.67% |

## Axi C2
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Rare | 2.00% |
| Silva & Aegis Prime Blade | Uncommon | 11.00% |
| Fragor Prime Handle | Uncommon | 11.00% |
| Forma Blueprint | Uncommon | 25.33% |
| Trinity Prime Systems Blueprint | Uncommon | 25.33% |
| Braton Prime Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Rare | 4.00% |
| Silva & Aegis Prime Blade | Uncommon | 13.00% |
| Fragor Prime Handle | Uncommon | 13.00% |
| Forma Blueprint | Uncommon | 23.33% |
| Trinity Prime Systems Blueprint | Uncommon | 23.33% |
| Braton Prime Blueprint | Uncommon | 23.33% |

### Flawless
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Rare | 6.00% |
| Silva & Aegis Prime Blade | Uncommon | 17.00% |
| Fragor Prime Handle | Uncommon | 17.00% |
| Forma Blueprint | Uncommon | 20.00% |
| Trinity Prime Systems Blueprint | Uncommon | 20.00% |
| Braton Prime Blueprint | Uncommon | 20.00% |

### Radiant
| Reward | Rarity | Chance |
|---|---|---|
| Cernos Prime Lower Limb | Uncommon | 10.00% |
| Silva & Aegis Prime Blade | Uncommon | 20.00% |
| Fragor Prime Handle | Uncommon | 20.00% |
| Forma Blueprint | Uncommon | 16.67% |
| Trinity Prime Systems Blueprint | Uncommon | 16.67% |
| Braton Prime Blueprint | Uncommon | 16.67% |

## Axi C3
### Intact
| Reward | Rarity | Chance |
|---|---|---|
| Chroma Prime Systems Blueprint | Rare | 2.00% |
| Banshee Prime Blueprint | Uncommon | 11.00% |
| Pyrana Prime Receiver | Uncommon | 11.00% |
| Helios Prime Carapace | Uncommon | 25.33% |
| Forma Blueprint | Uncommon | 25.33% |
| Hydroid Prime Chassis Blueprint | Uncommon | 25.33% |

### Exceptional
| Reward | Rarity | Chance |
|---|---|---|
| Chroma Prime Systems Blueprint | Rare | 4.00% |
| Banshee Prime Blueprint | Uncommon | 13.00% |
