# Enemy Drop Tables
FORMAT: Each ## is one enemy. Tables list what that enemy drops: mods, blueprints, resources, sigils with rarity and exact % chance.
INDEX: Enemy Mod Drop Tables (860 entries) | Enemy Blueprint Drop Tables (88 entries) | Resource Drops by Enemy (826 entries) | Sigil Drops by Enemy (57 entries) | Additional Item Drops by Enemy (37 entries)
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Taro Vambac
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Taro Numon
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Tarask Bursa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| North Wind | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Life Strike | Rare | 2.01% |

## Taro Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| North Wind | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Energy Channel | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Taro Disc Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Enhanced Vitality | Common | 38.72% |
| Thief's Wit | Common | 38.72% |
| Pathogen Rounds | Rare | 7.52% |
| Shotgun Savvy | Rare | 7.52% |
| Swirling Tiger | Rare | 7.52% |

## Taro Elite Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Fury | Rare | 5.53% |
| No Return | Rare | 5.53% |
| Infected Clip | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Jagged Edge | Legendary | 0.67% |
| Gnashing Payara | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Taro Stropha Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Chilling Grasp | Uncommon | 11.06% |
| Shotgun Savvy | Uncommon | 11.06% |
| Guardian Derision | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Taro Nullifier Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 75.88% |
| Incendiary Coat | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Combustion Beam | Legendary | 0.50% |
| Ravage | Legendary | 0.50% |
| Stalking Fan | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Axio Nullifier Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 75.88% |
| Incendiary Coat | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Combustion Beam | Legendary | 0.50% |
| Ravage | Legendary | 0.50% |
| Stalking Fan | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Vorac Nullifier Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 75.88% |
| Incendiary Coat | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Combustion Beam | Legendary | 0.50% |
| Ravage | Legendary | 0.50% |
| Stalking Fan | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Taro Railgun Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Common | 38.72% |
| 15 Endo | Common | 38.72% |
| Charged Chamber | Uncommon | 11.28% |
| 50 Endo | Uncommon | 11.28% |

## Taro Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Taro Shield Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Hawk Eye | Rare | 7.37% |
| Shotgun Barrage | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Shock Absorbers | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Taro Shockwave Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Piercing Hit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cryo Rounds | Uncommon | 11.06% |
| Stretch | Uncommon | 11.06% |
| Pointed Wind | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Taro Detron Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Taro Pilot
**Base Mod Drop Chance:** 4.00%
| Mod | Rarity | Chance |
|---|---|---|
| Combustion Beam | Uncommon | 25.00% |
| Gaia's Tragedy | Uncommon | 25.00% |
| Vulpine Mask | Uncommon | 25.00% |
| 80 Endo | Uncommon | 25.00% |

## Aurax Actinic
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Aurax Vertec
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Taro Tech
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ammo Drum | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| No Return | Uncommon | 22.11% |
| Barrel Diffusion | Legendary | 0.67% |
| Reaping Spiral | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Aurax Atloc Raknoid
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Organ Shatter | Common | 37.94% |
| Reach | Common | 37.94% |
| Shocking Touch | Rare | 3.69% |
| Molten Impact | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Fever Strike | Rare | 3.69% |
| Stretch | Rare | 3.69% |
| Life Strike | Rare | 1.01% |
| Split Chamber | Rare | 1.01% |

## Aurax Culveri Moa
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Aurax Polaris Moa
**Base Mod Drop Chance:** 15.00%
| Mod | Rarity | Chance |
|---|---|---|
| Aero Periphery | Common | 36.21% |
| Motus Signal | Uncommon | 21.82% |
| Proton Pulse | Uncommon | 21.82% |
| Aero Vantage | Rare | 5.76% |
| Motus Impact | Rare | 5.76% |
| Proton Jet | Rare | 5.76% |
| Motus Setup | Rare | 1.44% |
| Proton Snap | Rare | 1.44% |

## Aurax Baculus
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pressure Point | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Fast Hands | Uncommon | 25.29% |
| Enduring Affliction | Rare | 3.69% |
| North Wind | Rare | 3.69% |
| Reflex Coil | Rare | 3.69% |
| Smite Grineer | Rare | 3.69% |
| Atlantis Vulcan | Rare | 3.69% |
| 50 Endo | Rare | 3.69% |
| 80 Endo | Rare | 2.01% |

## Taro Engineer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ammo Drum | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| No Return | Uncommon | 22.11% |
| Barrel Diffusion | Legendary | 0.67% |
| Reaping Spiral | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Orm Zerca
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Orm Vambac
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Orm Numon
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Orm Ranger Crewman
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Orm Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| North Wind | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Energy Channel | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Orm Disc Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Enhanced Vitality | Common | 38.72% |
| Thief's Wit | Common | 38.72% |
| Pathogen Rounds | Rare | 7.52% |
| Shotgun Savvy | Rare | 7.52% |
| Swirling Tiger | Rare | 7.52% |

## Orm Elite Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Fury | Rare | 5.53% |
| No Return | Rare | 5.53% |
| Infected Clip | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Jagged Edge | Legendary | 0.67% |
| Gnashing Payara | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Orm Stropha Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Chilling Grasp | Uncommon | 11.06% |
| Shotgun Savvy | Uncommon | 11.06% |
| Guardian Derision | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Orm Nullifier Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Assault Mode | Common | 75.88% |
| Incendiary Coat | Uncommon | 11.06% |
| 50 Endo | Uncommon | 11.06% |
| Combustion Beam | Legendary | 0.50% |
| Ravage | Legendary | 0.50% |
| Stalking Fan | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Orm Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Orm Shield Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Hawk Eye | Rare | 7.37% |
| Shotgun Barrage | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Shock Absorbers | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Orm Detron Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Orm Pilot
**Base Mod Drop Chance:** 4.00%
| Mod | Rarity | Chance |
|---|---|---|
| Combustion Beam | Uncommon | 25.00% |
| Gaia's Tragedy | Uncommon | 25.00% |
| Vulpine Mask | Uncommon | 25.00% |
| 80 Endo | Uncommon | 25.00% |

## Orm Railgun Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Common | 38.72% |
| 15 Endo | Common | 38.72% |
| Charged Chamber | Uncommon | 11.28% |
| 50 Endo | Uncommon | 11.28% |

## Orm Shockwave Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Piercing Hit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cryo Rounds | Uncommon | 11.06% |
| Stretch | Uncommon | 11.06% |
| Pointed Wind | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Orm Tech
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ammo Drum | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| No Return | Uncommon | 22.11% |
| Barrel Diffusion | Legendary | 0.67% |
| Reaping Spiral | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Orm Engineer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ammo Drum | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| No Return | Uncommon | 22.11% |
| Barrel Diffusion | Legendary | 0.67% |
| Reaping Spiral | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Taro Secura Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Vitality | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Rare | 7.37% |
| Convulsion | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Hell's Chamber | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Axio Zerca
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Axio Vambac
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Axio Numon
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Axio Ranger Crewman
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Axio Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| North Wind | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Energy Channel | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Axio Disc Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Enhanced Vitality | Common | 38.72% |
| Thief's Wit | Common | 38.72% |
| Pathogen Rounds | Rare | 7.52% |
| Shotgun Savvy | Rare | 7.52% |
| Swirling Tiger | Rare | 7.52% |

## Axio Elite Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Fury | Rare | 5.53% |
| No Return | Rare | 5.53% |
| Infected Clip | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Jagged Edge | Legendary | 0.67% |
| Gnashing Payara | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Axio Stropha Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Chilling Grasp | Uncommon | 11.06% |
| Shotgun Savvy | Uncommon | 11.06% |
| Guardian Derision | Legendary | 0.50% |
| Vital Sense | Legendary | 0.50% |
| Rapid Resilience | Legendary | 0.50% |
| 80 Endo | Legendary | 0.50% |

## Axio Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Reach | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Fury | Uncommon | 11.06% |
| No Return | Uncommon | 11.06% |
| Reaping Spiral | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Axio Shield Osprey
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Hawk Eye | Rare | 7.37% |
| Shotgun Barrage | Rare | 7.37% |
| 50 Endo | Rare | 7.37% |
| Shock Absorbers | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Axio Detron Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Axio Pilot
**Base Mod Drop Chance:** 4.00%
| Mod | Rarity | Chance |
|---|---|---|
| Combustion Beam | Uncommon | 25.00% |
| Gaia's Tragedy | Uncommon | 25.00% |
| Vulpine Mask | Uncommon | 25.00% |
| 80 Endo | Uncommon | 25.00% |

## Axio Railgun Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Common | 38.72% |
| 15 Endo | Common | 38.72% |
| Charged Chamber | Uncommon | 11.28% |
| 50 Endo | Uncommon | 11.28% |

## Axio Shockwave Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Trick Mag | Uncommon | 25.29% |
| Piercing Hit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| Cryo Rounds | Uncommon | 11.06% |
| Stretch | Uncommon | 11.06% |
| Pointed Wind | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Axio Tech
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ammo Drum | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| No Return | Uncommon | 22.11% |
| Barrel Diffusion | Legendary | 0.67% |
| Reaping Spiral | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Axio Engineer
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Ammo Drum | Uncommon | 25.29% |
| Thief's Wit | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| No Return | Uncommon | 22.11% |
| Barrel Diffusion | Legendary | 0.67% |
| Reaping Spiral | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Vorac Zerca
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Vorac Vambac
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Vorac Numon
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.81% |
| Shredder | Uncommon | 25.81% |
| 15 Endo | Uncommon | 25.81% |
| Concussion Rounds | Rare | 5.64% |
| Infected Clip | Rare | 5.64% |
| Sinking Talon | Rare | 5.64% |
| 50 Endo | Rare | 5.64% |

## Vorac Ranger Crewman
**Base Mod Drop Chance:** 10.00%
| Mod | Rarity | Chance |
|---|---|---|
| Melee Prowess | Uncommon | 25.29% |
| Point Strike | Uncommon | 25.29% |
| Shredder | Uncommon | 25.29% |
| Concussion Rounds | Rare | 4.42% |
| Infected Clip | Rare | 4.42% |
| Charged Shell | Rare | 4.42% |
| Incendiary Coat | Rare | 4.42% |
| Cleanse Grineer | Rare | 4.42% |
| Combustion Beam | Legendary | 0.67% |
| Ravage | Legendary | 0.67% |
| Handspring | Legendary | 0.67% |

## Vorac Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Revenge | Uncommon | 25.29% |
| Ammo Drum | Uncommon | 25.29% |
| 15 Endo | Uncommon | 25.29% |
| North Wind | Uncommon | 11.06% |
| Smite Grineer | Uncommon | 11.06% |
| Energy Channel | Rare | 1.01% |
| 80 Endo | Rare | 1.01% |

## Vorac Disc Moa
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Enhanced Vitality | Common | 38.72% |
| Thief's Wit | Common | 38.72% |
| Pathogen Rounds | Rare | 7.52% |
| Shotgun Savvy | Rare | 7.52% |
| Swirling Tiger | Rare | 7.52% |

## Vorac Elite Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| 15 Endo | Common | 75.88% |
| Fury | Rare | 5.53% |
| No Return | Rare | 5.53% |
| Infected Clip | Rare | 5.53% |
| 50 Endo | Rare | 5.53% |
| Jagged Edge | Legendary | 0.67% |
| Gnashing Payara | Legendary | 0.67% |
| 80 Endo | Legendary | 0.67% |

## Vorac Stropha Crewman
**Base Mod Drop Chance:** 3.00%
| Mod | Rarity | Chance |
|---|---|---|
| Pistol Gambit | Common | 37.94% |
| Metal Fiber | Common | 37.94% |
| Chilling Grasp | Uncommon | 11.06% |
| Shotgun Savvy | Uncommon | 11.06% |
| Guardian Derision | Legendary | 0.50% |
